filename,subject_id,x1,y1,x2,y2
part_001/04233d4105_0.png,4233,37,259,520,320
part_001/04233d4105_1.png,4233,17,308,500,369
part_001/04233d4105_2.png,4233,109,295,592,356
part_001/04233d4105_3.png,4233,0,271,431,332
part_001/04233d4105_4.png,4233,90,406,532,201
part_001/04233d4105_5.png,4233,40,285,527,301
part_001/04233d4105_6.png,4233,38,206,502,356
part_001/04233d4105_7.png,4233,23,260,530,324
part_001/04233d4105_8.png,4233,23,260,530,324
part_001/04233d4105_9.png,4233,23,260,530,324
part_001/04233d4105_10.png,4233,144,252,444,290
part_001/04233d4105_11.png,4233,92,255,480,304
part_001/04233d4105_12.png,4233,143,251,444,290
part_001/04233d4106_0.png,4233,29,261,527,314
part_001/04233d4106_1.png,4233,27,298,525,351
part_001/04233d4106_2.png,4233,0,301,481,354
part_001/04233d4106_3.png,4233,23,222,521,275
part_001/04233d4106_4.png,4233,29,262,527,314
part_001/04233d4106_5.png,4233,60,373,539,227
part_001/04233d4106_6.png,4233,45,143,480,390
part_001/04233d4106_7.png,4233,14,262,537,318
part_001/04233d4106_8.png,4233,14,262,537,318
part_001/04233d4106_9.png,4233,14,262,537,318
part_001/04233d4106_10.png,4233,74,258,495,302
part_001/04233d4106_11.png,4233,72,258,497,303
part_001/04233d4106_12.png,4233,111,255,468,293
part_001/04233d4107_0.png,4233,31,257,528,316
part_001/04233d4107_1.png,4233,95,277,592,336
part_001/04233d4107_2.png,4233,35,248,532,307
part_001/04233d4107_3.png,4233,43,320,540,379
part_001/04233d4107_4.png,4233,77,398,538,203
part_001/04233d4107_5.png,4233,40,314,539,274
part_001/04233d4107_6.png,4233,33,275,532,303
part_001/04233d4107_7.png,4233,17,258,538,320
part_001/04233d4107_8.png,4233,17,258,538,320
part_001/04233d4107_9.png,4233,17,258,538,320
part_001/04233d4107_10.png,4233,53,255,511,310
part_001/04233d4107_11.png,4233,94,253,483,299
part_001/04233d4107_12.png,4233,146,250,444,286
part_001/04233d4108_0.png,4233,46,259,534,319
part_001/04233d4108_1.png,4233,126,209,614,269
part_001/04233d4108_2.png,4233,107,323,595,383
part_001/04233d4108_3.png,4233,0,303,470,363
