filename,subject_id,sequence_id,augmentation,upper_a,upper_b,upper_c,lower_a,lower_b,lower_c,upper_rmse,lower_rmse
batch_0000/orig_1197466.png,07267,07267d1,orig,627.7957730469684,-622.0724076010993,317.29634474094644,-282.53952330947385,351.2461721312422,282.666516205259,3.6294898567075276,4.344983625690888
batch_0000/rot_1197466.png,07267,07267d1,rot,636.1879034259186,-676.9342544881075,342.1845978989556,-278.02929612806633,307.65991771627006,302.5508860613278,2.723010080385233,4.432673585660018
batch_0000/trans_1197466.png,07267,07267d1,trans,627.7957730469658,-576.8075318598014,301.5728813372627,-282.53952330947357,330.8747122334831,300.848692268733,3.6294898567075338,4.344983625690883
batch_0000/flip_1197466.png,07267,07267d1,flip,627.7957730469648,-631.5572767020622,322.03136923744415,-282.5395233094751,212.9499384773657,351.70658909965556,3.629489856707511,4.34498362569089
batch_0000/orig_1197467.png,07267,07267d2,orig,663.8448555744145,-694.7853904997969,339.0987248251438,-358.37293151207024,441.71652148649724,250.10860609781093,2.0338647759211894,3.535694035457482
batch_0000/rot_1197467.png,07267,07267d2,rot,716.1711940155228,-600.8547409221045,277.5962305528417,-406.41482109393183,621.3289539597769,179.82713636619422,4.650011214318762,2.8860081123888714
batch_0000/trans_1197467.png,07267,07267d2,trans,663.8448555744147,-685.29820518315,335.4270986672491,-358.37293151206995,436.59491756778704,254.50581260195753,2.0338647759212,3.5356940354574666
batch_0000/flip_1197467.png,07267,07267d2,flip,663.8448555744167,-630.8298054753634,307.1708976137269,-358.37293151206757,273.90942612666583,333.8810544844756,2.033864775921192,3.535694035457442
batch_0000/orig_1197468.png,07267,07267d3,orig,742.1437069068425,-762.8907690404645,351.5875609212672,-327.29081962924346,401.5253153788743,261.85310875191584,2.9627177666922306,3.926060044482886
batch_0000/rot_1197468.png,07267,07267d3,rot,749.4942169528488,-742.3000900400634,339.21059383611777,-331.70250243061133,431.52468188311843,248.81457599241855,3.5372552656479996,3.8559838665327106
batch_0000/trans_1197468.png,07267,07267d3,trans,742.1437069068452,-736.4374525395949,337.86771851420946,-327.29081962924215,389.8592087220273,268.54607477741865,2.9627177666922484,3.9260600444828886
batch_0000/flip_1197468.png,07267,07267d3,flip,742.1437069068403,-719.0774456891351,329.71512840447116,-327.29081962924124,252.03354006826962,336.48220595775655,2.9627177666922444,3.926060044482877
batch_0000/orig_1197469.png,07267,07267d4,orig,676.2773538933363,-692.5954802564821,334.0415300556031,-291.40678712055126,369.950946989451,264.7356985491726,3.190682367047599,3.4995476266277867
batch_0000/rot_1197469.png,07267,07267d4,rot,690.2892255390866,-635.4301088475902,301.2879774620879,-305.83181756122417,450.47312462314426,230.8344640075126,4.518272774802785,3.4374832652944987
batch_0000/trans_1197469.png,07267,07267d4,trans,676.2773538933346,-733.6231220290647,352.67242261091116,-291.4067871205522,387.6296895989038,250.2455157202634,3.1906823670475823,3.499547626627773
batch_0000/flip_1197469.png,07267,07267d4,flip,676.2773538933351,-657.8458607992741,316.69386846720033,-291.40678712055006,211.95198104190047,343.6117448308008,3.190682367047619,3.4995476266277894
batch_0000/orig_1197470.png,07267,07267d5,orig,676.36573906871,-687.0614224918181,333.1766445133287,-278.41442138548285,349.0592389883529,272.1606235530788,4.278932674919092,3.8068305687389623
batch_0000/rot_1197470.png,07267,07267d5,rot,690.5319171229211,-827.679554062304,399.0744167468146,-280.41492692804735,240.34801087047876,326.405982742143,3.516628323437413,4.238387313501673
batch_0000/trans_1197470.png,07267,07267d5,trans,676.3657390687094,-671.4042167616972,323.220443971759,-278.4144213854813,342.61421727588674,274.0691020378608,4.278932674919064,3.806830568738977
batch_0000/flip_1197470.png,07267,07267d5,flip,676.3657390687105,-663.5564127110127,321.442502911817,-278.41442138548274,206.8995587157835,343.1294014391505,4.278932674919083,3.80683056873897
batch_0000/orig_1197471.png,07267,07267d6,orig,627.9192558805505,-616.7398739778102,287.2293891361637,-210.7203218492954,149.66787470356567,338.2589620840494,2.465223849554994,1.6813954540864697
batch_0000/rot_1197471.png,07267,07267d6,rot,648.4090808198289,-595.9680595378923,270.9742471876594,-207.57742200487087,191.0736657274383,316.216633096345,1.962532232081993,1.7141615813127036
