filepath,pupil_x,pupil_y,pupil_r,iris_x,iris_y,iris_r
batch_00/000000002624.png,160.0011,120.0,25.1102,163.1152,126.4982,73.8134
batch_00/000000002626.png,164.801,120.0,24.5437,168.8591,122.6777,74.943
batch_00/000000002631.png,167.5665,120.0,22.6962,171.4282,123.209,75.5146
batch_00/000000002644.png,178.4013,120.0,23.0059,182.6111,121.5878,74.9266
batch_00/000000002647.png,151.2,120.0,22.8371,156.4853,121.2683,71.9058
batch_00/000000002648.png,190.4,120.4122,21.9269,195.9803,115.2504,77.121
batch_00/000000002657.png,144.8006,120.0022,21.2966,152.0115,119.4627,75.0023
batch_00/000000002661.png,148.8,120.0,21.6428,153.3601,119.8627,73.7528
batch_00/000000002662.png,151.2009,120.0,22.4331,155.4201,122.4555,74.5316
batch_00/000000002663.png,149.601,120.0,22.7472,156.673,122.4526,75.5147
batch_00/000000002670.png,114.4,120.0,22.5592,117.6401,119.6799,73.6441
batch_00/000000002672.png,180.8,120.8008,24.1088,183.9972,126.2166,76.1685
batch_00/000000002674.png,155.2006,120.0006,23.6315,160.841,118.7284,75.0128
batch_00/000000002676.png,156.2387,120.0,23.6257,158.3715,121.053,72.784
batch_00/000000002677.png,155.2006,120.0006,23.6315,160.5906,121.0576,74.4549
batch_00/000000002679.png,154.4002,119.9999,23.6315,158.3829,125.3602,72.9676
batch_00/000000002682.png,140.0,120.0,22.127,146.5127,117.6309,77.0071
batch_00/000000002686.png,140.8,120.0,22.127,144.1954,119.661,73.1969
batch_00/000000002687.png,140.8008,120.0,22.4504,145.9869,119.171,73.5783
batch_00/000000002689.png,140.8,120.0,21.9376,145.5053,117.9287,77.0018
batch_00/000000002691.png,181.601,120.0,20.9342,185.1959,121.6829,76.6234
batch_00/000000002692.png,172.0,120.0,21.3489,176.7777,116.795,75.0796
batch_00/000000002694.png,188.7859,120.0,24.4037,191.8498,117.823,79.4403
batch_00/000000002697.png,185.6006,120.0006,23.6315,188.4607,115.4476,76.7236
batch_00/000000002699.png,137.601,120.0,25.2168,143.2717,122.8705,72.657
batch_00/000000002700.png,147.2,120.0,21.9028,150.4723,123.6861,72.9943
batch_00/000000002709.png,154.3921,120.0,25.53,158.7376,116.3534,76.2159
batch_00/000000002711.png,155.2,120.4516,25.7752,159.1509,122.7615,73.3599
