filename,subject_id,sequence_id,augmentation,upper_a,upper_b,upper_c,upper_d,lower_a,lower_b,lower_c,lower_d,upper_rmse,lower_rmse
batch_0000/orig_1197466.png,07267,07267d1,orig,283.00302394234484,218.85094147533573,-459.06097863386816,301.6962204346111,-585.1572065526098,585.1211590477888,-28.78035461315497,328.05585624069806,1.2793364494371045,0.8181460999185942
batch_0000/rot_1197466.png,07267,07267d1,rot,193.25754495954035,355.65450183178785,-564.1930730567948,331.1754599118777,-589.8192447787075,619.7060040408958,-98.15685139395424,353.24826061207295,1.453171349253982,0.7421775954299148
batch_0000/trans_1197466.png,07267,07267d1,trans,283.00302394234853,249.4582598019293,-442.1781333564617,291.3311980344075,-585.1572065526047,521.8352879550841,11.126131043340768,333.638071143123,1.2793364494371189,0.8181460999185898
batch_0000/flip_1197466.png,07267,07267d1,flip,-283.0030239423465,1066.533436627644,-824.3149863783237,343.19861013123847,585.1572065525957,-1167.6075362043046,610.3565968053764,300.19598914176515,1.2793364494370782,0.8181460999185797
batch_0000/orig_1197467.png,07267,07267d2,orig,216.6439088972538,327.7258888056525,-541.9072966320552,319.61547276724093,-427.6304741261221,372.52618242689493,66.65234963533443,305.03467357886655,1.062811482100319,0.09260642536783012
batch_0000/rot_1197467.png,07267,07267d2,rot,673.4234057500786,-333.789043982601,-116.82137556349709,214.41931563454798,-402.5230926039428,231.65777272192156,320.19790645263424,219.8185567020631,0.4156754788049454,0.1633657928282868
batch_0000/trans_1197467.png,07267,07267d2,trans,216.64390889725493,332.37006333115517,-537.1904922672204,317.0191743597851,-427.6304741261227,363.35910930503724,71.91071691485045,306.788972373695,1.0628114821003132,0.09260642536783895
batch_0000/flip_1197467.png,07267,07267d2,flip,-216.64390889725615,976.6420971744618,-760.4226143699623,320.8874282965878,427.63047412612684,-908.3607221040126,468.3449485735334,317.31673980594496,1.0628114821003307,0.09260642536783772
batch_0000/orig_1197468.png,07267,07267d3,orig,355.9892831634923,171.4476848059888,-488.0062253448018,313.56023397402805,-384.3634419631566,298.3089069553088,96.08020763763226,304.8113291601847,1.5555929432151028,2.2564891671731027
batch_0000/rot_1197468.png,07267,07267d3,rot,443.4507171661801,38.11195004917846,-399.1272300676424,291.62975744556127,-374.09431171524824,268.4085872051384,143.44374849985087,288.471691222586,1.7035567968667757,2.3015705745272026
batch_0000/trans_1197468.png,07267,07267d3,trans,355.9892831634937,190.4812569244272,-481.55584332489894,304.5601919279358,-384.36344196316026,277.75826220756056,106.34701109483306,306.2571158737629,1.5555929432150943,2.2564891671731093
